geotype,geoid,geoname,count,discuss,discussOppose,reducetax,reducetaxOppose,prioritycleanenergy,prioritycleanenergyOppose,localofficials,localofficialsOppose,governor,governorOppose,congress,congressOppose,president,presidentOppose,corporations,corporationsOppose,citizens,citizensOppose,regulate,regulateOppose,drilloffshore,drilloffshoreOppose,drillanwr,drillanwrOppose,fundrenewables,fundrenewablesOppose,rebates,rebatesOppose,mediaweekly,mediaweeklyOppose,gwvoteimp,gwvoteimpOppose,generaterenewable,generaterenewableOppose,exp,expOppose,teachgw,teachgwOppose,priority,priorityOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmus,harmusOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose,affectweather,affectweatherOppose
county,18001,"Adams County, Indiana",24639,27.52,72.48,58.42,41.58,56.55,16.99,46.05,21.51,46.65,23.21,50.89,30.30,44.58,34.94,61.38,17.46,52.48,18.34,68.18,31.82,66.76,33.24,36.57,63.43,71.74,28.26,68.16,31.84,26.80,73.20,47.14,42.23,72.12,27.88,33.32,66.68,65.03,34.97,42.95,33.97,60.94,23.50,49.32,37.13,43.12,29.29,50.66,49.34,36.23,53.06,51.96,38.10,56.19,30.96,60.97,26.84,60.83,28.38,47.88,52.12,51.18,10.18
county,18003,"Allen County, Indiana",287603,29.84,70.17,63.33,36.67,61.38,14.33,51.94,19.37,52.08,19.97,56.82,24.24,48.04,29.69,66.62,14.62,57.37,15.38,71.44,28.56,61.64,38.36,32.81,67.19,78.55,21.45,74.07,25.93,28.14,71.86,46.73,42.04,77.41,22.59,34.41,65.59,70.84,29.16,47.85,30.03,66.06,18.75,50.79,36.97,50.26,27.81,55.65,44.36,37.80,50.50,53.90,35.33,59.46,28.11,63.93,25.47,63.87,26.69,49.74,50.26,56.55,8.82
county,18005,"Bartholomew County, Indiana",62682,30.50,69.50,59.95,40.05,58.87,15.77,48.22,20.83,47.68,23.26,53.26,28.99,46.10,33.30,64.13,16.57,55.12,17.29,69.42,30.58,66.55,33.46,34.91,65.09,76.23,23.77,70.04,29.96,29.53,70.47,46.93,42.58,72.79,27.21,35.41,64.60,67.34,32.66,44.22,34.53,65.62,22.22,51.14,36.10,45.31,29.83,53.35,46.65,37.25,54.14,54.70,37.22,59.71,29.68,62.12,28.10,62.02,29.29,50.32,49.68,55.01,9.72
county,18007,"Benton County, Indiana",6550,26.68,73.32,57.45,42.55,54.85,17.11,45.93,22.50,46.39,24.27,50.39,31.23,43.74,36.26,61.10,17.29,51.13,18.89,67.65,32.35,67.06,32.94,36.98,63.02,71.96,28.04,68.83,31.18,25.92,74.08,48.72,40.99,72.66,27.34,32.35,67.65,63.77,36.23,41.62,34.22,59.87,24.18,47.54,38.69,42.36,31.59,49.99,50.01,34.65,53.98,50.40,38.64,55.01,31.12,59.20,28.26,59.27,29.95,46.63,53.37,49.73,10.49
county,18009,"Blackford County, Indiana",9418,25.85,74.15,56.63,43.37,55.63,17.72,44.77,22.57,44.76,24.83,49.08,31.47,41.99,36.33,60.35,18.13,50.91,19.31,67.20,32.80,68.26,31.74,38.45,61.56,72.02,27.98,67.72,32.28,26.63,73.37,45.27,44.09,70.90,29.10,31.60,68.40,63.30,36.70,41.18,35.51,60.48,25.49,45.96,40.11,41.18,32.14,49.15,50.86,34.61,54.40,50.51,38.91,54.75,31.69,58.48,29.16,58.56,30.55,46.84,53.16,49.28,10.69
county,18011,"Boone County, Indiana",52986,35.64,64.37,64.92,35.08,63.56,12.55,52.39,18.60,53.00,19.37,59.37,24.84,50.95,28.83,69.35,13.31,60.42,14.09,73.98,26.02,58.06,41.94,30.17,69.83,79.75,20.25,74.80,25.20,33.70,66.30,52.03,37.96,78.72,21.28,40.30,59.70,72.19,27.81,48.56,28.88,68.98,17.20,56.37,32.03,55.00,25.59,59.24,40.76,39.32,52.05,57.65,33.87,64.08,25.18,66.88,22.54,67.18,23.92,53.34,46.66,61.00,8.54
county,18013,"Brown County, Indiana",12864,29.38,70.62,59.93,40.07,57.13,15.53,46.93,21.48,45.98,23.78,50.82,29.69,44.20,34.06,64.16,15.89,54.51,16.86,70.02,29.98,66.98,33.02,35.30,64.70,75.77,24.23,70.57,29.43,30.44,69.56,45.72,43.65,73.22,26.78,34.41,65.59,67.17,32.83,41.39,36.57,65.47,22.14,48.09,39.31,46.13,30.49,51.35,48.65,35.21,55.28,52.74,37.81,57.95,29.85,60.84,26.67,61.22,28.00,47.82,52.18,53.85,9.99
county,18015,"Carroll County, Indiana",15922,24.76,75.24,54.60,45.41,52.77,17.65,43.73,24.12,43.68,26.37,46.32,35.21,40.36,40.09,58.52,18.99,48.61,20.74,65.65,34.35,70.61,29.39,39.75,60.26,70.33,29.67,67.60,32.40,25.37,74.63,42.92,45.96,70.63,29.37,29.96,70.04,61.80,38.20,37.36,37.51,56.71,28.41,43.32,42.06,37.90,35.07,46.86,53.14,32.08,56.58,47.68,41.35,51.93,33.26,56.04,30.37,55.89,33.83,43.26,56.74,48.06,11.18
county,18017,"Cass County, Indiana",29236,26.16,73.84,58.07,41.93,56.54,16.65,46.55,22.38,46.55,24.36,50.15,31.12,43.71,36.12,60.76,17.76,51.35,19.07,67.68,32.32,66.63,33.37,37.61,62.39,71.78,28.22,68.36,31.64,24.98,75.02,45.98,43.04,71.88,28.12,32.38,67.63,64.38,35.62,41.84,32.90,61.05,24.10,47.38,38.99,40.80,31.30,50.38,49.63,35.74,52.15,51.10,36.98,55.36,29.92,58.97,27.31,59.29,28.71,46.68,53.33,50.23,10.28
county,18019,"Clark County, Indiana",94626,29.79,70.22,63.60,36.40,62.71,13.13,51.21,20.09,51.43,21.01,56.78,26.37,49.28,30.73,66.20,14.77,55.98,16.26,72.10,27.90,62.55,37.45,33.56,66.44,76.55,23.46,73.65,26.35,27.76,72.24,50.68,38.83,76.69,23.31,36.92,63.08,69.58,30.42,47.60,28.35,67.18,20.00,51.77,34.13,48.81,27.45,56.05,43.95,37.97,50.51,54.42,34.14,59.66,26.50,64.12,22.55,64.25,24.11,51.60,48.40,57.38,8.93
county,18021,"Clay County, Indiana",20260,25.12,74.88,54.11,45.90,54.56,18.51,43.65,23.84,43.65,26.70,46.46,34.17,41.08,38.54,59.12,18.61,49.39,20.22,65.91,34.09,70.43,29.57,39.45,60.55,71.46,28.54,67.50,32.50,26.21,73.79,42.60,46.41,70.01,30.00,29.84,70.16,60.79,39.21,37.19,38.19,56.43,28.34,44.39,40.68,38.33,34.17,45.90,54.10,32.40,56.97,47.79,42.41,52.04,35.06,55.79,32.61,56.06,34.35,43.39,56.62,47.48,11.33
county,18023,"Clinton County, Indiana",24172,26.35,73.65,57.04,42.96,56.28,17.50,46.47,22.28,47.46,24.03,51.50,30.85,44.61,35.98,61.41,17.84,51.97,19.09,67.38,32.62,67.25,32.75,37.10,62.90,71.04,28.96,68.62,31.38,25.60,74.40,46.06,43.11,71.78,28.22,31.79,68.21,64.28,35.72,41.51,33.63,61.31,23.83,48.76,38.01,41.13,31.62,50.47,49.53,35.10,53.35,51.25,37.28,55.39,30.37,59.04,27.88,59.38,29.09,46.67,53.33,49.91,10.46
county,18025,"Crawford County, Indiana",8240,26.63,73.37,57.16,42.84,56.13,17.59,45.13,22.10,44.73,24.48,50.20,30.87,43.77,35.44,61.35,17.49,51.97,18.53,67.36,32.64,68.83,31.18,37.75,62.25,72.28,27.72,67.32,32.68,26.84,73.16,44.30,44.85,70.13,29.87,32.31,67.69,63.88,36.12,41.18,35.56,60.58,24.92,46.07,39.97,40.55,31.54,48.68,51.32,34.54,54.56,50.57,39.11,54.72,31.83,57.75,29.97,58.37,30.87,46.24,53.76,49.50,10.49
county,18027,"Daviess County, Indiana",23562,26.97,73.03,55.19,44.82,53.91,17.91,45.61,20.10,45.08,22.79,49.77,30.39,45.22,34.27,61.43,15.52,52.36,17.33,66.13,33.87,65.40,34.60,36.20,63.80,68.45,31.56,64.34,35.67,25.64,74.36,51.94,38.86,70.19,29.81,35.56,64.44,62.43,37.57,40.56,35.24,57.83,23.85,48.06,36.61,43.24,26.65,48.67,51.33,36.04,51.97,52.08,36.94,56.26,29.59,58.81,28.83,59.91,27.79,46.82,53.18,45.94,10.46
county,18029,"Dearborn County, Indiana",39486,26.83,73.17,56.55,43.45,53.04,15.07,45.56,21.13,45.31,22.44,49.70,29.98,44.53,35.11,62.68,13.95,50.76,17.20,68.11,31.89,62.03,37.97,35.51,64.49,71.54,28.47,69.26,30.74,25.22,74.78,54.41,36.64,76.38,23.62,34.95,65.05,62.59,37.41,40.44,32.91,58.47,22.18,47.84,37.91,43.14,28.90,48.98,51.02,33.58,53.00,49.68,36.99,55.13,28.72,59.78,26.14,59.09,28.34,44.36,55.64,48.17,10.60
county,18031,"Decatur County, Indiana",20160,27.98,72.02,57.54,42.46,57.77,16.35,46.70,22.09,48.71,22.86,52.77,29.78,45.43,35.18,62.47,17.05,52.03,18.65,67.89,32.12,63.71,36.30,36.62,63.38,71.53,28.47,69.09,30.91,26.47,73.53,49.84,39.91,73.67,26.33,33.37,66.63,64.06,35.94,43.41,31.81,62.33,23.90,49.08,37.07,45.53,29.98,50.79,49.21,34.84,53.11,50.52,38.39,55.80,30.11,59.83,26.52,60.57,27.86,48.27,51.73,50.95,10.35
county,18033,"Dekalb County, Indiana",32837,26.77,73.23,58.70,41.30,57.63,15.90,46.32,22.59,48.34,23.36,52.71,29.56,45.22,35.14,62.27,17.04,51.07,18.74,68.67,31.33,65.11,34.89,36.96,63.04,73.12,26.88,70.41,29.59,25.97,74.03,47.45,41.68,74.36,25.64,32.20,67.80,64.36,35.64,42.93,31.50,61.86,23.75,48.56,37.00,44.82,31.03,51.49,48.51,34.17,54.43,50.71,37.76,55.46,30.29,60.55,26.46,60.42,28.30,47.14,52.86,52.19,10.30
county,18035,"Delaware County, Indiana",91935,31.57,68.43,62.87,37.13,60.07,13.91,51.65,19.54,51.86,20.03,55.39,26.80,47.80,30.23,65.00,14.65,55.62,15.68,72.08,27.92,57.25,42.75,32.70,67.31,75.58,24.42,73.09,26.91,28.70,71.30,50.21,38.97,76.45,23.55,36.57,63.43,68.29,31.71,47.12,28.26,65.80,20.82,53.51,35.09,49.58,28.20,55.27,44.73,38.34,51.50,55.09,35.23,59.92,28.17,63.70,25.11,64.13,26.64,51.56,48.44,56.68,8.84
county,18037,"DuBois County, Indiana",33024,25.79,74.21,56.32,43.68,54.67,16.86,44.98,23.59,44.38,25.96,49.61,31.31,42.35,36.94,60.67,17.58,50.77,19.20,67.79,32.21,69.40,30.60,38.98,61.02,73.80,26.20,69.81,30.19,26.53,73.47,42.61,46.21,70.20,29.80,30.72,69.28,63.51,36.50,39.97,35.62,58.49,27.04,45.18,41.64,39.17,34.81,49.27,50.73,33.10,56.04,49.41,39.81,53.98,32.33,57.90,29.56,57.88,31.78,45.10,54.90,49.67,10.89
county,18039,"Elkhart County, Indiana",150253,30.22,69.78,60.96,39.04,61.62,14.24,50.18,19.90,51.92,21.00,54.37,26.90,48.85,31.13,64.63,16.25,55.81,16.80,69.39,30.61,62.14,37.86,33.52,66.48,73.49,26.51,69.36,30.64,26.98,73.02,47.74,41.09,74.11,25.89,35.85,64.15,67.61,32.39,45.98,30.81,66.39,20.33,52.50,33.87,47.24,27.25,54.90,45.10,38.84,50.15,55.28,34.19,59.02,27.59,63.49,24.71,63.63,25.33,51.73,48.27,54.60,9.07
county,18041,"Fayette County, Indiana",18261,26.35,73.65,56.83,43.17,56.40,16.73,44.68,22.90,46.34,23.93,49.03,29.70,42.69,35.43,60.42,17.78,50.23,19.38,66.98,33.02,66.65,33.35,37.78,62.22,72.31,27.70,69.18,30.83,24.63,75.37,45.83,43.16,72.90,27.10,30.91,69.09,63.61,36.39,42.47,32.47,58.87,27.17,46.46,39.13,41.71,32.33,49.46,50.54,34.61,53.57,49.56,39.21,54.18,31.52,58.78,28.40,59.18,29.22,46.73,53.27,49.90,10.59
county,18043,"Floyd County, Indiana",62208,31.40,68.60,63.61,36.39,61.02,14.04,51.36,19.73,51.75,20.58,57.60,25.31,49.72,30.48,66.66,14.16,56.76,15.39,72.84,27.16,63.13,36.87,32.76,67.24,77.84,22.16,74.31,25.69,29.61,70.39,51.23,38.66,77.18,22.82,37.10,62.90,70.75,29.25,48.44,29.30,67.63,18.57,52.73,34.40,49.47,27.95,56.27,43.74,37.88,50.46,55.07,32.81,60.65,25.12,63.71,22.46,63.88,24.11,52.25,47.75,57.51,8.99
county,18045,"Fountain County, Indiana",12901,25.73,74.27,54.98,45.02,52.26,18.03,44.01,22.46,43.62,25.09,47.56,33.15,42.13,37.69,59.63,17.07,49.96,19.03,65.86,34.14,69.24,30.76,38.66,61.34,70.85,29.15,66.21,33.79,25.79,74.21,47.14,42.80,70.52,29.48,31.69,68.31,61.58,38.42,38.20,37.69,57.03,27.22,44.92,39.69,39.38,32.12,46.84,53.16,33.37,55.24,49.19,40.06,53.46,32.59,57.03,30.71,57.24,31.98,44.22,55.78,46.62,11.06
county,18047,"Franklin County, Indiana",17630,26.89,73.11,55.93,44.07,56.15,17.48,44.67,22.83,45.49,24.40,49.43,31.23,42.78,36.53,60.27,17.61,50.52,19.18,66.73,33.27,67.47,32.53,38.10,61.90,70.89,29.11,67.70,32.30,26.90,73.10,44.09,44.86,72.32,27.68,31.22,68.78,62.88,37.12,41.11,34.51,59.47,26.29,45.97,38.46,42.41,31.50,47.88,52.12,33.63,54.47,49.25,38.95,54.12,31.69,57.97,28.28,58.44,29.81,45.77,54.23,50.38,10.82
county,18049,"Fulton County, Indiana",15572,25.90,74.10,55.33,44.67,54.00,18.72,44.36,23.13,43.77,25.62,47.62,32.92,41.55,37.70,59.36,18.35,50.33,19.61,66.20,33.81,68.27,31.73,39.17,60.83,70.81,29.19,67.10,32.90,26.69,73.32,43.23,45.86,69.00,31.01,31.44,68.56,62.19,37.81,39.84,36.61,57.85,26.83,46.50,39.76,40.05,33.23,47.46,52.54,33.70,55.68,49.90,39.89,54.11,32.69,57.44,30.53,57.77,31.81,44.78,55.23,48.18,10.95
county,18051,"Gibson County, Indiana",25111,23.16,76.84,51.50,48.51,41.16,17.36,41.96,21.90,38.78,27.01,45.60,34.25,42.30,38.29,59.60,12.96,47.84,17.92,64.69,35.31,71.23,28.77,40.50,59.50,68.23,31.77,64.94,35.06,23.13,76.87,53.27,38.97,70.40,29.60,34.63,65.37,56.60,43.40,31.38,37.49,50.84,25.02,41.64,42.70,34.52,30.80,42.46,57.54,30.00,55.93,46.84,38.96,52.03,30.23,55.06,30.96,53.58,33.79,39.51,60.49,39.23,12.30
county,18053,"Grant County, Indiana",52549,29.74,70.27,59.46,40.55,57.72,15.20,49.65,20.20,51.09,21.27,56.56,27.47,49.31,31.57,64.74,16.08,55.21,17.02,69.33,30.67,62.63,37.37,34.72,65.28,72.73,27.27,69.02,30.98,27.25,72.75,50.40,39.66,74.99,25.01,35.47,64.53,66.34,33.66,45.12,30.47,65.97,22.48,48.28,36.91,48.98,28.20,53.56,46.44,36.42,53.34,54.09,35.11,58.55,28.22,64.03,23.68,63.82,25.00,49.33,50.67,54.13,9.50
county,18055,"Greene County, Indiana",24278,25.98,74.02,56.37,43.63,55.97,17.40,45.18,22.87,45.74,24.70,50.40,31.01,43.13,36.40,60.88,17.76,51.13,19.14,67.48,32.52,68.53,31.47,38.61,61.39,72.46,27.54,68.48,31.52,26.64,73.36,44.85,44.25,71.95,28.05,31.99,68.02,63.78,36.22,41.59,34.24,60.32,25.15,45.47,40.81,41.82,32.33,49.37,50.63,34.51,54.16,50.16,38.67,54.60,31.45,58.61,28.44,58.82,29.69,46.65,53.35,50.04,10.74
county,18057,"Hamilton County, Indiana",258717,38.09,61.91,69.07,30.93,66.53,10.42,54.31,17.55,54.01,17.81,58.35,24.23,50.98,27.33,69.65,12.41,61.22,13.11,76.27,23.73,56.35,43.65,27.87,72.13,81.21,18.80,77.40,22.60,35.22,64.78,54.33,36.10,78.76,21.24,42.70,57.30,76.69,23.31,50.92,25.68,71.08,17.58,58.05,30.61,57.83,24.75,60.83,39.17,42.30,50.90,59.15,33.32,66.10,24.46,68.56,21.84,69.99,22.16,55.97,44.03,66.24,7.81
county,18059,"Hancock County, Indiana",61628,30.61,69.39,60.62,39.38,60.59,14.64,48.77,20.65,49.79,21.86,54.69,28.93,47.09,33.30,65.59,15.25,56.00,16.43,70.87,29.13,64.01,36.00,33.50,66.50,76.44,23.56,72.21,27.79,29.76,70.24,48.41,41.00,75.79,24.21,36.03,63.97,67.45,32.55,46.16,31.92,64.13,22.49,50.19,36.34,48.73,28.67,53.16,46.84,36.70,54.02,53.40,37.42,59.77,27.98,63.42,25.09,64.16,25.50,50.12,49.88,55.40,9.58
county,18061,"Harrison County, Indiana",30887,25.27,74.73,56.33,43.67,48.93,15.52,44.77,21.10,43.62,23.75,49.20,30.11,44.35,35.56,61.79,13.40,51.11,16.93,68.05,31.95,65.89,34.11,37.40,62.60,72.15,27.85,68.72,31.28,24.99,75.02,51.64,39.18,73.95,26.05,34.60,65.40,61.72,38.28,38.46,33.25,58.16,22.91,47.76,37.81,41.23,29.56,48.90,51.10,32.49,55.02,49.09,38.87,55.04,29.35,59.84,26.96,58.85,29.24,43.53,56.47,46.27,10.94
county,18063,"Hendricks County, Indiana",132547,31.55,68.45,63.20,36.80,60.28,13.11,51.99,19.53,51.51,20.94,55.81,29.31,48.57,33.09,65.86,15.43,56.93,15.97,72.62,27.38,61.50,38.50,31.74,68.26,77.53,22.47,73.65,26.35,30.28,69.72,49.40,40.12,77.02,22.98,37.66,62.35,70.66,29.34,47.15,30.13,69.20,17.27,53.48,34.53,51.38,27.34,55.47,44.53,38.73,51.00,55.48,34.55,62.22,25.23,65.52,22.35,65.54,23.79,51.69,48.31,59.09,8.88
county,18065,"Henry County, Indiana",38989,26.83,73.17,57.24,42.76,55.87,17.17,45.52,22.55,46.61,24.06,50.51,31.39,43.90,35.96,61.13,17.35,51.16,18.90,67.59,32.41,66.56,33.45,37.07,62.93,72.83,27.17,69.22,30.78,26.72,73.28,46.09,43.09,72.19,27.81,32.12,67.88,63.68,36.32,41.55,34.41,60.26,25.47,47.36,38.06,42.80,31.95,49.62,50.38,34.44,54.51,50.18,39.21,54.89,31.65,59.08,28.58,59.21,30.23,46.53,53.47,50.74,10.48
county,18067,"Howard County, Indiana",64463,27.55,72.45,59.67,40.33,59.99,15.28,47.61,21.26,47.27,22.81,50.42,28.48,44.46,34.06,60.95,16.45,51.49,17.84,69.03,30.97,66.85,33.15,36.04,63.96,75.86,24.14,71.10,28.90,26.90,73.10,46.45,42.64,74.50,25.50,32.77,67.23,66.76,33.25,42.64,30.84,62.63,22.31,49.13,38.40,42.85,31.34,51.57,48.44,35.33,54.02,51.61,39.15,56.62,31.16,60.61,28.03,60.41,30.60,47.82,52.18,54.31,9.77
county,18069,"Huntington County, Indiana",28801,26.41,73.59,56.14,43.86,55.44,17.67,45.05,22.95,45.91,25.13,50.63,31.95,43.38,36.42,61.15,17.90,51.18,19.39,67.20,32.80,68.77,31.23,38.07,61.93,72.30,27.70,68.69,31.32,26.88,73.12,43.54,45.37,72.05,27.95,31.31,68.69,63.70,36.30,39.57,36.27,60.69,24.73,45.75,40.80,41.05,33.11,48.96,51.04,33.59,55.31,50.30,38.37,54.81,31.12,59.59,28.13,59.57,29.63,45.31,54.69,50.06,10.82
county,18071,"Jackson County, Indiana",35154,25.08,74.93,55.23,44.77,54.29,18.46,44.54,23.25,44.58,25.51,48.42,31.59,42.00,36.97,60.04,18.31,49.93,19.78,66.51,33.49,68.57,31.44,39.22,60.78,70.55,29.45,66.93,33.07,25.59,74.41,43.29,45.71,70.51,29.49,30.70,69.30,62.51,37.49,37.77,37.20,59.32,26.71,45.45,40.88,38.76,32.86,47.85,52.15,33.69,54.81,48.79,40.23,52.85,33.31,57.00,29.97,57.90,31.32,45.13,54.87,48.49,11.03
county,18073,"Jasper County, Indiana",25397,24.69,75.31,55.34,44.67,50.55,15.98,44.69,21.70,43.61,24.68,48.63,31.84,43.66,36.66,60.17,14.53,49.87,18.00,67.29,32.71,67.63,32.37,37.80,62.20,71.50,28.50,68.32,31.68,24.47,75.53,51.35,39.46,73.67,26.33,33.70,66.30,60.63,39.37,37.27,34.81,55.18,24.82,46.31,38.40,39.23,30.65,46.84,53.16,32.59,54.30,48.66,38.38,53.79,30.07,57.71,28.53,56.99,30.93,43.11,56.89,44.92,11.09
county,18075,"Jay County, Indiana",15234,26.74,73.26,55.33,44.67,54.83,18.44,44.49,22.66,44.44,25.35,49.80,32.14,43.38,36.77,61.33,18.00,51.36,19.38,66.84,33.16,69.25,30.75,38.68,61.32,71.80,28.20,66.84,33.16,26.55,73.45,43.74,45.43,69.85,30.15,31.60,68.40,62.88,37.12,39.50,37.09,61.12,25.32,45.87,40.39,42.12,31.48,48.87,51.13,34.97,54.10,50.64,38.90,54.59,32.00,57.88,30.02,58.38,30.69,45.88,54.12,49.18,10.89
county,18077,"Jefferson County, Indiana",26425,24.16,75.85,55.16,44.84,48.15,15.81,44.08,21.12,41.63,25.14,47.93,31.72,43.70,35.95,61.27,12.94,50.05,16.82,67.34,32.67,68.05,31.95,38.10,61.90,71.90,28.10,67.31,32.69,24.07,75.93,52.89,38.60,72.10,27.90,34.61,65.39,60.34,39.66,35.69,35.66,55.31,24.17,44.33,39.30,37.62,30.53,46.91,53.09,32.33,54.42,49.09,37.79,53.80,29.19,57.79,28.72,56.77,31.23,43.40,56.60,43.26,11.28
county,18079,"Jennings County, Indiana",21245,25.70,74.30,56.35,43.65,55.20,17.37,45.03,23.07,46.24,24.39,49.47,31.69,42.77,37.13,60.11,18.06,49.85,19.67,66.80,33.20,67.13,32.87,38.23,61.77,71.08,28.92,68.33,31.67,25.31,74.69,46.06,42.99,72.48,27.52,30.88,69.12,62.60,37.40,40.66,34.47,58.85,26.02,46.40,39.17,41.39,32.23,48.54,51.46,33.70,54.61,49.08,39.63,53.53,32.19,58.27,28.67,58.37,30.30,45.44,54.56,49.16,10.72
county,18081,"Johnson County, Indiana",122548,29.90,70.10,60.96,39.04,58.09,14.69,47.58,21.39,47.43,23.13,50.43,32.80,43.98,35.46,63.08,16.67,54.06,17.56,69.94,30.06,64.34,35.66,35.40,64.60,76.34,23.66,72.59,27.41,29.01,70.99,48.52,41.06,75.78,24.22,34.83,65.17,66.47,33.53,42.67,35.38,62.26,23.37,47.77,38.06,45.20,30.25,51.96,48.04,36.20,53.69,53.37,36.65,58.87,28.63,62.60,25.52,61.79,28.71,47.81,52.19,54.27,9.65
county,18083,"Knox County, Indiana",28433,23.75,76.25,53.01,46.99,47.58,18.07,42.87,23.34,41.41,26.83,47.18,32.75,40.97,38.02,58.74,16.05,48.05,19.20,65.17,34.83,70.59,29.42,39.79,60.21,71.23,28.78,66.69,33.31,24.52,75.48,46.89,43.32,70.45,29.55,31.89,68.11,58.71,41.29,35.62,37.21,54.25,26.71,43.07,41.58,36.21,33.64,45.08,54.92,31.05,56.79,47.20,40.97,51.96,32.94,55.66,31.54,54.97,34.08,42.03,57.97,43.75,11.83
county,18085,"Kosciusko County, Indiana",61497,29.10,70.91,57.08,42.92,55.82,18.25,46.36,21.73,46.80,23.13,48.98,31.48,43.04,36.21,62.02,17.25,52.05,19.12,66.93,33.07,67.22,32.78,37.37,62.64,72.95,27.05,67.88,32.12,27.61,72.39,48.11,41.52,72.67,27.34,33.41,66.59,64.89,35.11,42.59,36.94,58.93,25.59,48.14,38.00,43.42,30.45,49.18,50.82,35.88,53.25,51.33,38.54,56.29,30.67,59.38,27.52,59.94,28.36,46.81,53.19,50.16,10.28
county,18087,"LaGrange County, Indiana",27412,29.48,70.53,58.01,41.99,59.65,18.60,47.21,19.55,48.32,21.05,52.17,28.62,46.82,32.25,62.11,17.26,53.98,17.13,66.94,33.06,64.29,35.71,34.87,65.14,69.60,30.40,63.76,36.25,26.27,73.73,49.56,40.24,69.76,30.25,36.13,63.87,65.05,34.95,46.11,34.29,62.68,23.08,50.57,34.59,44.28,25.38,51.90,48.10,39.06,49.79,55.25,34.35,58.57,28.08,60.74,26.76,62.09,25.35,50.38,49.62,48.95,9.71
county,18089,"Lake County, Indiana",381664,30.58,69.42,68.14,31.86,61.38,10.72,55.82,17.76,55.30,18.14,60.02,21.58,52.87,24.74,70.08,13.33,60.37,14.50,75.34,24.66,59.70,40.30,30.06,69.94,79.57,20.43,75.79,24.21,26.12,73.88,50.38,38.02,77.02,22.98,42.01,57.99,73.46,26.55,51.75,23.06,69.94,15.94,57.19,32.01,50.49,24.63,61.05,38.95,42.40,45.25,59.81,29.11,65.65,20.76,67.14,17.67,68.51,20.01,56.54,43.46,60.41,7.59
county,18091,"Laporte County, Indiana",88312,27.80,72.21,62.87,37.13,59.44,13.80,49.39,20.94,48.99,22.80,54.72,27.28,45.73,31.87,65.34,15.59,55.30,16.73,71.79,28.21,66.34,33.66,35.38,64.62,77.68,22.32,72.89,27.12,27.06,72.94,47.78,41.69,74.12,25.88,35.24,64.76,68.63,31.37,44.70,28.55,65.52,19.87,49.16,38.58,46.32,30.17,54.87,45.13,37.28,50.00,53.46,34.03,58.26,26.20,61.54,23.92,61.58,25.71,50.96,49.04,55.39,9.30
county,18093,"Lawrence County, Indiana",35489,26.20,73.80,55.59,44.41,55.06,18.19,44.07,23.58,44.10,25.65,48.27,32.80,41.66,38.07,60.16,18.09,49.76,19.62,66.74,33.26,67.97,32.04,39.01,60.99,72.14,27.86,68.48,31.53,26.52,73.48,43.12,45.72,71.41,28.59,31.39,68.61,62.31,37.69,39.13,34.47,60.03,25.36,46.84,39.56,41.29,32.93,47.65,52.35,33.35,55.47,49.33,38.80,53.73,31.65,57.69,28.60,57.83,30.09,44.85,55.15,49.70,10.93
county,18095,"Madison County, Indiana",102484,28.94,71.06,60.47,39.53,57.95,15.30,47.77,20.66,47.36,22.47,51.62,30.84,44.70,33.85,62.33,17.19,53.95,17.59,69.27,30.73,66.60,33.40,35.95,64.05,72.79,27.21,69.03,30.97,27.63,72.37,47.41,41.77,73.27,26.73,35.53,64.47,67.13,32.87,44.02,32.75,63.36,23.06,48.85,36.53,46.16,29.74,53.00,47.00,37.13,52.62,54.05,36.14,58.18,28.91,61.45,26.35,62.02,28.33,48.73,51.27,53.14,9.42
county,18097,"Marion County, Indiana",732683,34.41,65.59,72.18,27.82,68.83,10.64,60.06,15.46,61.42,15.01,63.26,19.63,56.91,22.31,70.24,12.07,62.09,12.50,76.32,23.68,52.48,47.52,28.48,71.52,81.32,18.68,75.92,24.08,27.38,72.62,58.97,30.87,80.47,19.53,45.00,55.00,75.25,24.75,58.84,22.73,70.74,15.48,59.52,30.04,55.50,21.37,64.97,35.03,48.45,40.04,62.48,26.45,68.01,18.95,69.43,18.42,69.76,20.61,61.39,38.61,63.76,6.66
county,18099,"Marshall County, Indiana",34801,27.44,72.56,58.27,41.73,56.75,16.84,46.50,21.90,46.75,24.34,52.67,29.01,44.68,35.52,63.22,17.00,54.46,18.07,67.31,32.69,65.49,34.51,36.60,63.40,73.37,26.64,68.97,31.03,27.25,72.75,44.75,44.42,70.09,29.91,33.51,66.49,64.23,35.77,44.55,33.32,63.16,23.66,46.33,38.44,44.13,30.47,50.76,49.24,34.98,53.70,52.45,37.18,57.20,29.53,60.30,27.43,60.63,28.26,48.70,51.30,51.95,10.37
